,datestamp,co2
204,1962-02-24,319.3
205,1962-03-03,319.2
206,1962-03-10,319.4
207,1962-03-17,319.9
208,1962-03-24,319.7
209,1962-03-31,320.2
210,1962-04-07,320.2
211,1962-04-14,321.0
212,1962-04-21,320.7
213,1962-04-28,320.3
214,1962-05-05,320.8
215,1962-05-12,320.7
216,1962-05-19,321.0
217,1962-05-26,321.1
218,1962-06-02,320.9
219,1962-06-09,320.8
220,1962-06-16,320.5
221,1962-06-23,320.1
222,1962-06-30,320.2
223,1962-07-07,320.1
224,1962-07-14,319.9
225,1962-07-21,319.0
226,1962-07-28,318.7
227,1962-08-04,318.6
228,1962-08-11,317.2
229,1962-08-18,317.4
230,1962-08-25,
231,1962-09-01,
232,1962-09-08,
233,1962-09-15,316.6
234,1962-09-22,315.7
235,1962-09-29,315.9
236,1962-10-06,315.1
237,1962-10-13,315.4
238,1962-10-20,315.7
239,1962-10-27,315.7
240,1962-11-03,315.9
241,1962-11-10,316.4
242,1962-11-17,316.9
243,1962-11-24,317.0
244,1962-12-01,317.1
245,1962-12-08,317.3
246,1962-12-15,317.6
247,1962-12-22,318.1
248,1962-12-29,
249,1963-01-05,318.5
250,1963-01-12,318.7
251,1963-01-19,318.9
252,1963-01-26,318.8
253,1963-02-02,318.7
254,1963-02-09,318.9
255,1963-02-16,
256,1963-02-23,319.3
257,1963-03-02,319.3
258,1963-03-09,319.7
259,1963-03-16,319.8
260,1963-03-23,320.3
261,1963-03-30,320.2
262,1963-04-06,320.3
263,1963-04-13,320.9
264,1963-04-20,322.0
265,1963-04-27,321.9
266,1963-05-04,
267,1963-05-11,321.9
268,1963-05-18,322.2
269,1963-05-25,322.2
270,1963-06-01,322.3
271,1963-06-08,322.0
272,1963-06-15,321.8
273,1963-06-22,320.8
274,1963-06-29,320.4
275,1963-07-06,320.1
276,1963-07-13,319.8
277,1963-07-20,319.5
278,1963-07-27,319.0
279,1963-08-03,318.6
280,1963-08-10,318.2
281,1963-08-17,317.7
282,1963-08-24,317.1
283,1963-08-31,316.4
284,1963-09-07,316.8
285,1963-09-14,315.9
286,1963-09-21,316.0
287,1963-09-28,315.9
288,1963-10-05,316.2
289,1963-10-12,315.6
290,1963-10-19,316.1
291,1963-10-26,316.3
292,1963-11-02,316.6
293,1963-11-09,316.8
294,1963-11-16,317.1
295,1963-11-23,
296,1963-11-30,317.5
297,1963-12-07,318.0
298,1963-12-14,318.2
299,1963-12-21,318.5
300,1963-12-28,318.7
301,1964-01-04,319.0
302,1964-01-11,319.4
303,1964-01-18,319.8
304,1964-01-25,
305,1964-02-01,
306,1964-02-08,
307,1964-02-15,
308,1964-02-22,
309,1964-02-29,
310,1964-03-07,
311,1964-03-14,
312,1964-03-21,
313,1964-03-28,
314,1964-04-04,
315,1964-04-11,
316,1964-04-18,
317,1964-04-25,
318,1964-05-02,
319,1964-05-09,
320,1964-05-16,
321,1964-05-23,
322,1964-05-30,322.0
323,1964-06-06,322.0
324,1964-06-13,
325,1964-06-20,
326,1964-06-27,321.5
327,1964-07-04,321.1
328,1964-07-11,319.9
329,1964-07-18,320.2
330,1964-07-25,320.0
331,1964-08-01,319.1
332,1964-08-08,
333,1964-08-15,318.6
334,1964-08-22,318.2
335,1964-08-29,318.1
336,1964-09-05,317.4
337,1964-09-12,316.5
338,1964-09-19,315.5
339,1964-09-26,317.0
340,1964-10-03,316.9
341,1964-10-10,316.5
342,1964-10-17,316.8
343,1964-10-24,317.0
344,1964-10-31,317.6
345,1964-11-07,317.7
346,1964-11-14,317.6
347,1964-11-21,317.5
348,1964-11-28,318.1
349,1964-12-05,318.4
350,1964-12-12,318.5
351,1964-12-19,318.9
352,1964-12-26,318.9
353,1965-01-02,319.0
354,1965-01-09,319.1
355,1965-01-16,319.1
356,1965-01-23,319.7
357,1965-01-30,320.1
358,1965-02-06,320.2
359,1965-02-13,320.1
360,1965-02-20,320.7
361,1965-02-27,320.8
362,1965-03-06,321.0
363,1965-03-13,320.9
364,1965-03-20,320.4
365,1965-03-27,321.4
366,1965-04-03,321.9
367,1965-04-10,322.2
368,1965-04-17,322.1
369,1965-04-24,321.8
370,1965-05-01,322.4
371,1965-05-08,322.2
372,1965-05-15,321.9
373,1965-05-22,321.6
374,1965-05-29,322.2
375,1965-06-05,321.8
376,1965-06-12,321.7
377,1965-06-19,321.7
378,1965-06-26,321.9
379,1965-07-03,321.9
380,1965-07-10,321.8
381,1965-07-17,321.7
382,1965-07-24,320.4
383,1965-07-31,319.4
384,1965-08-07,319.4
385,1965-08-14,318.0
386,1965-08-21,318.8
387,1965-08-28,318.7
388,1965-09-04,318.3
389,1965-09-11,318.0
390,1965-09-18,318.2
391,1965-09-25,316.8
392,1965-10-02,316.6
393,1965-10-09,317.2
394,1965-10-16,317.8
395,1965-10-23,317.5
396,1965-10-30,317.6
397,1965-11-06,318.3
398,1965-11-13,319.2
399,1965-11-20,318.9
400,1965-11-27,319.1
401,1965-12-04,319.0
402,1965-12-11,319.3
403,1965-12-18,319.3
404,1965-12-25,319.7
405,1966-01-01,319.6
406,1966-01-08,320.4
407,1966-01-15,320.6
408,1966-01-22,321.0
409,1966-01-29,321.1
410,1966-02-05,321.2
411,1966-02-12,321.7
412,1966-02-19,321.6
413,1966-02-26,321.8
414,1966-03-05,322.1
415,1966-03-12,322.1
416,1966-03-19,322.5
417,1966-03-26,322.8
418,1966-04-02,323.5
419,1966-04-09,323.6
420,1966-04-16,323.8
421,1966-04-23,323.9
422,1966-04-30,323.5
423,1966-05-07,324.0
424,1966-05-14,324.1
425,1966-05-21,323.7
426,1966-05-28,324.3
427,1966-06-04,324.0
428,1966-06-11,323.8
429,1966-06-18,323.7
430,1966-06-25,323.3
431,1966-07-02,322.8
432,1966-07-09,322.9
433,1966-07-16,
434,1966-07-23,
435,1966-07-30,
436,1966-08-06,321.3
437,1966-08-13,320.8
438,1966-08-20,319.1
439,1966-08-27,319.6
440,1966-09-03,319.9
441,1966-09-10,318.2
442,1966-09-17,318.4
443,1966-09-24,318.3
444,1966-10-01,317.9
445,1966-10-08,317.9
446,1966-10-15,318.2
447,1966-10-22,318.6
448,1966-10-29,318.3
449,1966-11-05,
450,1966-11-12,319.5
451,1966-11-19,320.0
452,1966-11-26,320.2
453,1966-12-03,320.8
454,1966-12-10,320.8
455,1966-12-17,321.1
456,1966-12-24,321.3
457,1966-12-31,321.3
458,1967-01-07,321.9
459,1967-01-14,322.9
460,1967-01-21,
461,1967-01-28,
462,1967-02-04,322.1
463,1967-02-11,322.2
464,1967-02-18,322.8
465,1967-02-25,322.6
466,1967-03-04,322.9
467,1967-03-11,322.6
468,1967-03-18,323.3
469,1967-03-25,323.2
470,1967-04-01,323.1
471,1967-04-08,324.2
472,1967-04-15,324.4
473,1967-04-22,324.6
474,1967-04-29,325.1
475,1967-05-06,325.2
476,1967-05-13,324.7
477,1967-05-20,325.0
478,1967-05-27,324.9
479,1967-06-03,324.9
480,1967-06-10,324.6
481,1967-06-17,323.3
482,1967-06-24,323.5
483,1967-07-01,322.8
484,1967-07-08,322.8
485,1967-07-15,322.4
486,1967-07-22,322.4
487,1967-07-29,322.0
488,1967-08-05,321.6
489,1967-08-12,321.4
490,1967-08-19,320.4
491,1967-08-26,320.0
492,1967-09-02,320.0
493,1967-09-09,319.4
494,1967-09-16,319.3
495,1967-09-23,319.0
496,1967-09-30,318.8
497,1967-10-07,318.8
498,1967-10-14,319.8
499,1967-10-21,319.4
500,1967-10-28,319.8
501,1967-11-04,320.0
502,1967-11-11,320.3
503,1967-11-18,320.9
504,1967-11-25,321.5
505,1967-12-02,321.4
506,1967-12-09,321.8
507,1967-12-16,322.2
508,1967-12-23,321.9
509,1967-12-30,322.3
510,1968-01-06,322.4
511,1968-01-13,322.5
512,1968-01-20,322.5
513,1968-01-27,322.8
514,1968-02-03,322.6
515,1968-02-10,323.1
516,1968-02-17,323.4
517,1968-02-24,323.1
518,1968-03-02,323.1
519,1968-03-09,323.8
520,1968-03-16,323.8
521,1968-03-23,324.2
522,1968-03-30,324.7
523,1968-04-06,324.7
524,1968-04-13,325.0
525,1968-04-20,324.8
526,1968-04-27,325.4
527,1968-05-04,325.6
528,1968-05-11,325.0
529,1968-05-18,325.5
530,1968-05-25,325.8
531,1968-06-01,325.6
532,1968-06-08,325.7
533,1968-06-15,325.5
534,1968-06-22,324.9
535,1968-06-29,324.6
536,1968-07-06,324.7
537,1968-07-13,324.1
538,1968-07-20,323.9
539,1968-07-27,323.4
540,1968-08-03,322.4
541,1968-08-10,322.2
542,1968-08-17,322.0
543,1968-08-24,321.7
544,1968-08-31,321.4
545,1968-09-07,320.4
546,1968-09-14,321.1
547,1968-09-21,319.7
548,1968-09-28,319.8
549,1968-10-05,320.5
550,1968-10-12,320.5
551,1968-10-19,320.2
552,1968-10-26,319.9
553,1968-11-02,320.7
554,1968-11-09,320.8
555,1968-11-16,321.4
556,1968-11-23,321.7
557,1968-11-30,322.0
558,1968-12-07,322.4
559,1968-12-14,322.9
560,1968-12-21,323.3
561,1968-12-28,323.1
562,1969-01-04,323.3
563,1969-01-11,324.0
564,1969-01-18,324.3
565,1969-01-25,324.1
566,1969-02-01,324.1
567,1969-02-08,323.9
568,1969-02-15,324.3
569,1969-02-22,324.8
570,1969-03-01,325.1
571,1969-03-08,325.5
572,1969-03-15,325.7
573,1969-03-22,325.9
574,1969-03-29,325.8
575,1969-04-05,326.2
576,1969-04-12,327.1
577,1969-04-19,326.5
578,1969-04-26,326.5
579,1969-05-03,327.5
580,1969-05-10,327.8
581,1969-05-17,326.8
582,1969-05-24,326.9
583,1969-05-31,327.4
584,1969-06-07,326.5
585,1969-06-14,326.7
586,1969-06-21,326.7
587,1969-06-28,326.3
588,1969-07-05,326.1
589,1969-07-12,326.0
590,1969-07-19,325.7
591,1969-07-26,325.4
592,1969-08-02,324.5
593,1969-08-09,324.5
594,1969-08-16,323.1
595,1969-08-23,322.5
596,1969-08-30,323.1
597,1969-09-06,322.2
598,1969-09-13,322.7
599,1969-09-20,322.8
600,1969-09-27,321.9
601,1969-10-04,321.5
602,1969-10-11,321.8
603,1969-10-18,322.0
604,1969-10-25,321.9
605,1969-11-01,322.2
606,1969-11-08,322.6
607,1969-11-15,322.7
608,1969-11-22,323.1
609,1969-11-29,323.5
610,1969-12-06,323.9
611,1969-12-13,323.9
612,1969-12-20,324.2
613,1969-12-27,324.5
614,1970-01-03,324.7
615,1970-01-10,325.4
616,1970-01-17,325.0
617,1970-01-24,324.8
618,1970-01-31,325.5
619,1970-02-07,325.7
620,1970-02-14,326.0
621,1970-02-21,326.3
622,1970-02-28,326.1
623,1970-03-07,326.8
624,1970-03-14,326.8
625,1970-03-21,327.5
626,1970-03-28,326.9
627,1970-04-04,328.2
628,1970-04-11,327.8
629,1970-04-18,327.8
630,1970-04-25,328.5
631,1970-05-02,327.9
632,1970-05-09,327.5
633,1970-05-16,328.0
634,1970-05-23,328.3
635,1970-05-30,327.9
636,1970-06-06,327.5
637,1970-06-13,327.8
638,1970-06-20,327.7
639,1970-06-27,327.2
640,1970-07-04,327.2
641,1970-07-11,326.2
642,1970-07-18,326.2
643,1970-07-25,325.6
644,1970-08-01,325.2
645,1970-08-08,325.2
646,1970-08-15,324.8
647,1970-08-22,324.8
648,1970-08-29,323.3
649,1970-09-05,322.9
650,1970-09-12,323.5
651,1970-09-19,323.1
652,1970-09-26,323.1
653,1970-10-03,323.2
654,1970-10-10,323.5
655,1970-10-17,322.9
656,1970-10-24,323.0
657,1970-10-31,323.1
658,1970-11-07,323.6
659,1970-11-14,323.7
660,1970-11-21,324.2
661,1970-11-28,324.7
662,1970-12-05,324.7
663,1970-12-12,325.0
664,1970-12-19,325.2
665,1970-12-26,325.5
666,1971-01-02,325.7
667,1971-01-09,325.8
668,1971-01-16,325.9
669,1971-01-23,326.7
670,1971-01-30,326.6
671,1971-02-06,326.5
672,1971-02-13,326.4
673,1971-02-20,326.7
674,1971-02-27,327.0
675,1971-03-06,327.1
676,1971-03-13,327.3
677,1971-03-20,327.0
678,1971-03-27,327.4
679,1971-04-03,327.4
680,1971-04-10,327.1
681,1971-04-17,327.7
682,1971-04-24,328.5
683,1971-05-01,328.2
684,1971-05-08,329.0
685,1971-05-15,329.2
686,1971-05-22,328.9
687,1971-05-29,328.8
688,1971-06-05,328.5
689,1971-06-12,328.8
690,1971-06-19,328.1
691,1971-06-26,328.5
692,1971-07-03,327.9
693,1971-07-10,327.8
694,1971-07-17,327.5
695,1971-07-24,326.2
696,1971-07-31,326.7
697,1971-08-07,326.1
698,1971-08-14,325.6
699,1971-08-21,325.3
700,1971-08-28,324.0
701,1971-09-04,323.6
702,1971-09-11,323.5
703,1971-09-18,323.2
704,1971-09-25,323.3
705,1971-10-02,323.3
706,1971-10-09,322.9
707,1971-10-16,323.5
708,1971-10-23,323.6
709,1971-10-30,324.4
710,1971-11-06,324.3
711,1971-11-13,324.5
712,1971-11-20,325.0
713,1971-11-27,325.5
714,1971-12-04,325.3
715,1971-12-11,325.9
716,1971-12-18,326.2
717,1971-12-25,326.3
718,1972-01-01,326.6
719,1972-01-08,326.6
720,1972-01-15,326.6
721,1972-01-22,326.6
722,1972-01-29,327.2
723,1972-02-05,327.4
724,1972-02-12,327.9
725,1972-02-19,327.8
726,1972-02-26,327.4
727,1972-03-04,327.5
728,1972-03-11,327.1
729,1972-03-18,327.7
730,1972-03-25,328.6
731,1972-04-01,328.9
732,1972-04-08,329.4
733,1972-04-15,329.8
734,1972-04-22,330.1
735,1972-04-29,330.0
736,1972-05-06,330.0
737,1972-05-13,329.7
738,1972-05-20,330.1
739,1972-05-27,330.2
740,1972-06-03,329.7
741,1972-06-10,329.1
742,1972-06-17,329.0
743,1972-06-24,328.5
744,1972-07-01,328.6
745,1972-07-08,328.3
746,1972-07-15,327.7
747,1972-07-22,328.1
748,1972-07-29,327.5
749,1972-08-05,326.9
750,1972-08-12,326.6
751,1972-08-19,326.5
752,1972-08-26,325.0
753,1972-09-02,325.4
754,1972-09-09,325.7
755,1972-09-16,324.8
756,1972-09-23,324.2
757,1972-09-30,324.2
758,1972-10-07,324.8
759,1972-10-14,325.5
760,1972-10-21,325.1
761,1972-10-28,325.8
762,1972-11-04,326.3
763,1972-11-11,326.1
764,1972-11-18,326.4
765,1972-11-25,326.9
766,1972-12-02,326.9
767,1972-12-09,327.1
768,1972-12-16,327.6
769,1972-12-23,327.9
770,1972-12-30,328.2
771,1973-01-06,328.4
772,1973-01-13,328.4
773,1973-01-20,328.6
774,1973-01-27,328.8
775,1973-02-03,329.1
776,1973-02-10,329.5
777,1973-02-17,329.6
778,1973-02-24,329.7
779,1973-03-03,329.9
780,1973-03-10,330.1
781,1973-03-17,330.5
782,1973-03-24,330.8
783,1973-03-31,330.6
784,1973-04-07,331.2
785,1973-04-14,331.1
786,1973-04-21,331.9
787,1973-04-28,332.1
788,1973-05-05,332.2
789,1973-05-12,332.3
790,1973-05-19,332.6
791,1973-05-26,332.5
792,1973-06-02,332.2
793,1973-06-09,332.5
794,1973-06-16,332.0
795,1973-06-23,331.6
796,1973-06-30,331.4
797,1973-07-07,331.5
798,1973-07-14,331.0
799,1973-07-21,330.0
800,1973-07-28,330.1
801,1973-08-04,330.0
802,1973-08-11,329.5
803,1973-08-18,329.3
804,1973-08-25,328.5
805,1973-09-01,328.4
806,1973-09-08,327.6
807,1973-09-15,327.8
808,1973-09-22,327.1
809,1973-09-29,326.6
810,1973-10-06,327.0
811,1973-10-13,327.4
812,1973-10-20,327.4
813,1973-10-27,327.1
814,1973-11-03,327.5
815,1973-11-10,328.0
816,1973-11-17,328.2
817,1973-11-24,328.5
818,1973-12-01,329.0
819,1973-12-08,328.7
820,1973-12-15,328.6
821,1973-12-22,328.2
822,1973-12-29,328.7
823,1974-01-05,328.9
824,1974-01-12,329.2
825,1974-01-19,329.4
826,1974-01-26,329.8
827,1974-02-02,330.5
828,1974-02-09,330.8
829,1974-02-16,330.6
830,1974-02-23,330.6
831,1974-03-02,330.7
832,1974-03-09,331.2
833,1974-03-16,332.1
834,1974-03-23,332.0
835,1974-03-30,331.5
836,1974-04-06,332.4
837,1974-04-13,332.1
838,1974-04-20,332.9
839,1974-04-27,333.1
840,1974-05-04,332.9
841,1974-05-11,333.0
842,1974-05-18,333.2
843,1974-05-25,332.8
844,1974-06-01,332.9
845,1974-06-08,332.0
846,1974-06-15,332.0
847,1974-06-22,332.2
848,1974-06-29,331.7
849,1974-07-06,331.7
850,1974-07-13,331.2
851,1974-07-20,330.4
852,1974-07-27,331.0
853,1974-08-03,330.0
854,1974-08-10,329.9
855,1974-08-17,329.2
856,1974-08-24,328.9
857,1974-08-31,328.1
858,1974-09-07,328.0
859,1974-09-14,327.3
860,1974-09-21,326.9
861,1974-09-28,327.3
862,1974-10-05,327.3
863,1974-10-12,327.0
864,1974-10-19,327.5
865,1974-10-26,327.7
866,1974-11-02,327.9
867,1974-11-09,328.0
868,1974-11-16,328.8
869,1974-11-23,328.6
870,1974-11-30,328.7
871,1974-12-07,329.5
872,1974-12-14,329.7
873,1974-12-21,329.8
874,1974-12-28,329.7
875,1975-01-04,329.9
876,1975-01-11,329.8
877,1975-01-18,330.2
878,1975-01-25,331.1
879,1975-02-01,331.1
880,1975-02-08,331.4
881,1975-02-15,331.0
882,1975-02-22,331.7
883,1975-03-01,331.8
884,1975-03-08,331.6
885,1975-03-15,331.9
886,1975-03-22,332.2
887,1975-03-29,332.5
888,1975-04-05,333.0
889,1975-04-12,333.5
890,1975-04-19,333.5
891,1975-04-26,333.1
892,1975-05-03,333.9
893,1975-05-10,333.9
894,1975-05-17,333.7
895,1975-05-24,333.7
896,1975-05-31,334.1
897,1975-06-07,333.8
898,1975-06-14,333.3
899,1975-06-21,333.4
900,1975-06-28,333.1
901,1975-07-05,332.7
902,1975-07-12,332.0
903,1975-07-19,331.0
904,1975-07-26,331.5
905,1975-08-02,330.8
906,1975-08-09,330.7
907,1975-08-16,330.3
908,1975-08-23,329.3
909,1975-08-30,328.8
910,1975-09-06,329.4
911,1975-09-13,328.5
912,1975-09-20,328.0
913,1975-09-27,328.2
914,1975-10-04,328.0
915,1975-10-11,328.0
916,1975-10-18,328.5
917,1975-10-25,328.8
918,1975-11-01,329.3
919,1975-11-08,329.2
920,1975-11-15,329.1
921,1975-11-22,329.5
922,1975-11-29,330.1
923,1975-12-06,330.3
924,1975-12-13,330.5
925,1975-12-20,331.1
926,1975-12-27,331.2
927,1976-01-03,331.5
928,1976-01-10,331.5
929,1976-01-17,331.7
930,1976-01-24,331.8
931,1976-01-31,332.2
932,1976-02-07,332.1
933,1976-02-14,332.5
934,1976-02-21,333.2
935,1976-02-28,332.4
936,1976-03-06,332.8
937,1976-03-13,333.6
938,1976-03-20,333.1
939,1976-03-27,334.3
940,1976-04-03,334.7
941,1976-04-10,334.2
942,1976-04-17,334.4
943,1976-04-24,334.5
944,1976-05-01,334.7
945,1976-05-08,334.3
946,1976-05-15,334.6
947,1976-05-22,335.4
948,1976-05-29,334.8
949,1976-06-05,334.3
950,1976-06-12,334.6
951,1976-06-19,334.3
952,1976-06-26,
953,1976-07-03,333.6
954,1976-07-10,333.4
955,1976-07-17,332.8
956,1976-07-24,332.4
957,1976-07-31,332.1
958,1976-08-07,331.7
959,1976-08-14,330.6
960,1976-08-21,330.6
961,1976-08-28,330.0
962,1976-09-04,329.7
963,1976-09-11,330.0
964,1976-09-18,329.3
965,1976-09-25,328.4
966,1976-10-02,328.8
967,1976-10-09,329.0
968,1976-10-16,329.6
969,1976-10-23,329.1
970,1976-10-30,329.0
971,1976-11-06,329.8
972,1976-11-13,330.4
973,1976-11-20,330.5
974,1976-11-27,330.7
975,1976-12-04,331.1
976,1976-12-11,331.3
977,1976-12-18,331.9
978,1976-12-25,332.2
979,1977-01-01,332.5
980,1977-01-08,332.4
981,1977-01-15,333.1
982,1977-01-22,333.2
983,1977-01-29,333.2
984,1977-02-05,333.4
985,1977-02-12,333.3
986,1977-02-19,333.4
987,1977-02-26,333.6
988,1977-03-05,334.1
989,1977-03-12,334.6
990,1977-03-19,335.1
991,1977-03-26,335.0
992,1977-04-02,335.5
993,1977-04-09,335.9
994,1977-04-16,336.0
995,1977-04-23,336.1
996,1977-04-30,336.7
997,1977-05-07,336.8
998,1977-05-14,336.4
999,1977-05-21,336.8
1000,1977-05-28,336.7
1001,1977-06-04,336.4
1002,1977-06-11,336.3
1003,1977-06-18,336.1
1004,1977-06-25,336.0
1005,1977-07-02,335.5
1006,1977-07-09,335.1
1007,1977-07-16,335.1
1008,1977-07-23,334.6
1009,1977-07-30,333.7
1010,1977-08-06,333.0
1011,1977-08-13,332.9
1012,1977-08-20,332.8
1013,1977-08-27,332.8
1014,1977-09-03,332.1
1015,1977-09-10,331.2
1016,1977-09-17,332.1
1017,1977-09-24,330.9
1018,1977-10-01,330.4
1019,1977-10-08,330.9
1020,1977-10-15,331.5
1021,1977-10-22,331.5
1022,1977-10-29,331.7
1023,1977-11-05,332.1
1024,1977-11-12,332.0
1025,1977-11-19,332.5
1026,1977-11-26,332.8
1027,1977-12-03,333.2
1028,1977-12-10,333.5
1029,1977-12-17,333.8
1030,1977-12-24,334.2
1031,1977-12-31,334.6
1032,1978-01-07,334.2
1033,1978-01-14,334.6
1034,1978-01-21,335.4
1035,1978-01-28,335.9
1036,1978-02-04,335.0
1037,1978-02-11,335.1
1038,1978-02-18,335.6
1039,1978-02-25,335.7
1040,1978-03-04,336.2
1041,1978-03-11,336.1
1042,1978-03-18,336.8
1043,1978-03-25,337.3
1044,1978-04-01,337.0
1045,1978-04-08,337.9
1046,1978-04-15,337.9
1047,1978-04-22,337.4
1048,1978-04-29,338.0
1049,1978-05-06,338.0
1050,1978-05-13,338.1
1051,1978-05-20,337.8
1052,1978-05-27,337.9
1053,1978-06-03,338.4
1054,1978-06-10,338.2
1055,1978-06-17,337.8
1056,1978-06-24,337.3
1057,1978-07-01,337.6
1058,1978-07-08,336.7
1059,1978-07-15,336.7
1060,1978-07-22,335.9
1061,1978-07-29,335.6
1062,1978-08-05,335.1
1063,1978-08-12,334.8
1064,1978-08-19,334.4
1065,1978-08-26,334.3
1066,1978-09-02,333.8
1067,1978-09-09,332.8
1068,1978-09-16,332.1
1069,1978-09-23,332.3
1070,1978-09-30,332.7
1071,1978-10-07,332.1
1072,1978-10-14,332.4
1073,1978-10-21,333.0
1074,1978-10-28,333.1
1075,1978-11-04,333.5
1076,1978-11-11,333.8
1077,1978-11-18,333.8
1078,1978-11-25,334.2
1079,1978-12-02,334.5
1080,1978-12-09,334.8
